,AssetNumber,AssetIdentifier
1011327,92325250988,MRPP-AP 29 • SB • Ledcor Sicim LP • 451.9
1011330,91194552378,MRPP-AP 29 • NB • Ledcor Sicim LP • 451.9
1027206,25290248946,AP 6-A-13-A • SB • Macro Spiecapag JV
1027207,67094374825,AP 6-A-13-A • NB • Macro Spiecapag JV
1027237,98128214373,AP 6-A-61-B • NB • Macro Spiecapag JV
1027240,26620220646,AP 6-A-Hwy 1 E-3 • NB • Macro Spiecapag JV • 1071.5
1027241,22374545720,AP 6-A-61-B • SB • Macro Spiecapag JV
1027250,53956931309,AP 6-A-Hwy 1 E-3 • SB • Macro Spiecapag JV • 1071.5
1037493,11840206827,MRPP-AP 11-A • SB • Ledcor Sicim LP • 418.75
1037497,93967088503,MRPP-AP 11-A • NB • Ledcor Sicim LP • 418.75
1046091,80864304032,"AP 3-C-80.1-A, AP 3-C-81-C • NB • Ledcor Sicim LP • 609.8"
1046098,56416848379,"AP 3-C-62-A, AP 3-C-63-A • SB • Ledcor Sicim LP • 578.4"
1046101,79873216290,"AP 3-C-62-A, AP 3-C-63-A • NB • Ledcor Sicim LP • 578.4"
1046103,71758011730,AP 3-C-60-G • SB • Ledcor Sicim LP • 568
1046105,92281098181,AP 3-C-60-G • NB • Ledcor Sicim LP • 568
1046135,50744787359,"AP 3-C-49.1-A, AP 3-C-49.1-B • NB • Ledcor Sicim LP • 548.2"
1046137,84220168833,"AP 3-C-49.1-A, AP 3-C-49.1-B • SB • Ledcor Sicim LP • 548.2"
1046194,93884933780,AP 4-B-120-B • SB • Ledcor Sicim LP • 733.1
1046200,66805775749,AP 4-B-120-B • NB • Ledcor Sicim LP • 733.1
1046462,78505615544,"AP 4-B-115-B-5, AP 4-B-115-B-6, AP 4-B-115-C • NB • Ledcor Sicim LP • 728.3"
1046473,86501172080,"AP 4-B-115-B-5, AP 4-B-115-B-6, AP 4-B-115-C • SB • Ledcor Sicim LP • 728.3"
1059998,61325418624,"AP 3-C-56-A, AP 3-C-57-A, AP 3-C-Hwy 5-4 • SB • Ledcor Sicim LP • 559.6"
1060003,81707818641,AP 3-C-69-A • NB • Ledcor Sicim LP • 589.4
1060005,90463265505,"AP 3-C-56-A, AP 3-C-57-A, AP 3-C-Hwy 5-4 • NB • Ledcor Sicim LP • 559.6"
1060008,84498234371,AP 3-C-79-A • NB • Ledcor Sicim LP • 607.3
1060012,43926278006,AP 3-C-79-A • SB • Ledcor Sicim LP • 607.3
1060014,22066491450,AP 3-C-69-A • SB • Ledcor Sicim LP • 589.4
1060060,21312749164,"AP 3-C-80.1-A, AP 3-C-81-C • SB • Ledcor Sicim LP • 609.8"
1060083,82161912029,"AP 4-B-100-A-1, AP 4-B-100-A-2 • NB • Ledcor Sicim LP • 714.1"
1060125,60064182556,AP 4-B-125-C • N/A • Ledcor Sicim LP • 746.7
1060128,74245035624,AP 4-B-138-B • SB • Ledcor Sicim LP • 756.5
1060145,43957798196,"AP 4-B-100-A-1, AP 4-B-100-A-2 • SB • Ledcor Sicim LP • 714.1"
1060157,90908258954,AP 4-B-138-B • NB • Ledcor Sicim LP • 756.5
1075136,54509208931,MRPP-AP 2 • NB • Ledcor Sicim LP • 408.8
1075144,33379829945,MRPP-AP 2 • SB • Ledcor Sicim LP • 408.8
1087586,10897197432,AP 3-B-12-A-1 • SB • Ledcor Sicim LP • 511.9
1087588,62134790681,AP 3-B-12-A-1 • NB • Ledcor Sicim LP • 511.9
1087928,11297073233,"AP 4-B-143-A, AP 4-B-144-A, AP 4-B-145-A • NB • Ledcor Sicim LP • 760.5"
1087929,42238078130,"AP 4-B-143-A, AP 4-B-144-A, AP 4-B-145-A • SB • Ledcor Sicim LP • 760.5"
1099473,25033704574,AP 4-A-15-A • SB • Ledcor Sicim LP • 632.9
1099477,89235725358,AP 3-C-37-A • NB • Ledcor Sicim LP • 531
1099483,40019229882,AP 3-C-68-B • SB • Ledcor Sicim LP • 588.5
1099485,66070555709,AP 4-A-15-A • NB • Ledcor Sicim LP • 632.9
1099489,64076632864,AP 3-C-37-A • SB • Ledcor Sicim LP • 531
1099501,80403137993,AP 3-C-68-B • NB • Ledcor Sicim LP • 588.5
1099536,65878214789,AP 4-B-97-A • NB • Ledcor Sicim LP • 712.6
1099550,42332816772,AP 4-B-97-A • SB • Ledcor Sicim LP • 712.6
1099744,82655752068,"AP 4-B-118-B, AP-4-B-160-B • NB • Ledcor Sicim LP • 732.6"
1099753,67130106041,"AP 4-B-118-B, AP-4-B-160-B • SB • Ledcor Sicim LP • 732.6"
1113757,20575538255,"AP 4-B-146-A, AP 4-B-146-A-1, AP 4-B-146-A-2 • SB • Ledcor Sicim LP • 761.7"
1113764,10099718500,"AP 4-B-146-A, AP 4-B-146-A-1, AP 4-B-146-A-2 • NB • Ledcor Sicim LP • 761.7"
1113795,92760938388,AP 4-B-127-A • N/A • Ledcor Sicim LP • 747.9
1113799,66890299701,AP 4-B-115-F • SB • Ledcor Sicim LP • 731
1113805,24883923271,AP 4-A-7-A • NB • Ledcor Sicim LP • 613.9
1113811,63914444458,AP 4-B-115-F • NB • Ledcor Sicim LP • 731
1113813,42282849941,AP 4-A-7-A • SB • Ledcor Sicim LP • 613.9
1113844,54264025222,AP 3-C-71-A • NB • Ledcor Sicim LP • 594.6
1113849,24518403970,AP 3-C-71-A • SB • Ledcor Sicim LP • 594.6
1113921,64277836054,"AP 3-B-10, AP 3-B-11, AP 3-B-Hwy 5-1, AP 3-B-Hwy 5-2 • SB • Ledcor Sicim LP • 509.1"
1113938,14014037003,"AP 3-B-10, AP 3-B-11, AP 3-B-Hwy 5-1, AP 3-B-Hwy 5-2 • NB • Ledcor Sicim LP • 509.1"
1114336,41838453577,"AP 3-C-81-C-1, AP 3-C-81-C-2 • SB • Ledcor Sicim LP • 610.4"
1114340,29368392925,"AP 3-C-81-C-1, AP 3-C-81-C-2 • NB • Ledcor Sicim LP • 610.4"
1127796,33388067973,"AP 3-C-43-A, AP 3-C-44-A, AP 3-C-45-B, AP 3-C-46-A • SB • Ledcor Sicim LP • 539.8"
1127802,88786298092,"AP 3-C-43-A, AP 3-C-44-A, AP 3-C-45-B, AP 3-C-46-A • NB • Ledcor Sicim LP • 539.8"
1140397,76506638536,AP 4-A-19-A • SB • Ledcor Sicim LP • 636
1140399,99675721151,AP 4-A-19-A • NB • Ledcor Sicim LP • 636
1140483,84288924497,AP 3-C-52-E • SB • Ledcor Sicim LP • 554.6
1140484,84204357923,AP 3-C-52-E • NB • Ledcor Sicim LP • 554.6
1153116,43494072994,"AP 3-B-7, AP 3-B-8, AP 3-B-9 • SB • Ledcor Sicim LP • 507"
1153117,93064852668,"AP 3-B-7, AP 3-B-8, AP 3-B-9 • NB • Ledcor Sicim LP • 507"
1153146,16130369879,AP 4-A-32-A • NB • Ledcor Sicim LP • 655.6
1153147,38849870203,AP 4-A-Hwy 5-20 • SB • Ledcor Sicim LP • 644.9
1153148,92719569042,AP 4-A-32-A • SB • Ledcor Sicim LP • 655.6
1153151,19316607964,AP 4-A-Hwy 5-20 • NB • Ledcor Sicim LP • 644.9
1153228,64316447795,AP 4-A-12-A • NB • Ledcor Sicim LP • 627.3
1153243,94695340709,AP 4-A-12-A • SB • Ledcor Sicim LP • 627.3
1176157,98238560078,AP 4-A-Hwy 5-19 • NB • Ledcor Sicim LP • 643.4
1176161,63877082333,AP 4-A-13-A • NB • Ledcor Sicim LP • 628.4
1176170,27969778633,AP 4-A-Hwy 5-19 • SB • Ledcor Sicim LP • 643.4
1176202,38343347632,AP 4-A-13-A • SB • Ledcor Sicim LP • 628.4
1187303,69397841741,AP 3-C-38-A • NB • Ledcor Sicim LP • 532.3
1187307,83775772469,AP 3-C-38-A • SB • Ledcor Sicim LP • 532.3
1195042,12738620179,AP 6-A-59-A • SB • Macro Spiecapag JV • 1064.8
1195057,71201082738,AP 6-A-59-A • NB • Macro Spiecapag JV • 1064.8
1200093,19245554694,AP 3-C-70-A • SB • Ledcor Sicim LP • 593.8
1200095,17960997656,"AP 3-C-77-B, AP 3-C-77-C • SB • Ledcor Sicim LP • 604.1"
1200096,48287165966,"AP 3-C-77-B, AP 3-C-77-C • NB • Ledcor Sicim LP • 604.1"
1200097,69422269667,AP 3-C-70-A • NB • Ledcor Sicim LP • 593.8
1214899,82142153201,"AP 4-A-2-A-1, AP 4-A-2-A-2 • NB • Ledcor Sicim LP • 610.9"
1214903,86398967383,AP 4-A-3-A • N/A • Ledcor Sicim LP • 611.2
1214904,58131120333,"AP 4-A-2-A-1, AP 4-A-2-A-2 • SB • Ledcor Sicim LP • 610.9"
1214983,19814667285,AP 4-A-25-A • NB • Ledcor Sicim LP • 644.2
1214997,46872764443,AP 4-A-25-A • SB • Ledcor Sicim LP • 644.2
1215152,23782465685,MRPP-AP 7 • SB • Ledcor Sicim LP • 418
1215168,22995865667,MRPP-AP 7 • NB • Ledcor Sicim LP • 418
1230326,53057499933,AP 4-A-Hwy 5-17 • SB • Ledcor Sicim LP • 637.7
1230341,99152507318,AP 4-A-Hwy 5-17 • NB • Ledcor Sicim LP • 637.7
1230375,42000211195,AP-3-B-82-2 • SB • Ledcor Sicim LP • 505.2
1230388,87069830120,AP 4-A-Hwy 5-27 • NB • Ledcor Sicim LP • 678
1230389,18758701810,AP 4-A-Hwy 5-27 • SB • Ledcor Sicim LP • 678
1230398,13594795150,AP-3-B-82-2 • NB • Ledcor Sicim LP • 505.2
1244701,91121536486,AP 4-B-150-A • SB • Ledcor Sicim LP • 769
1244703,65111330349,AP 4-B-150-A • NB • Ledcor Sicim LP • 769
1245012,86408938872,AP 4-B-114-A • SB • Ledcor Sicim LP • 726.1
1245015,94011949749,AP 4-B-114-A • NB • Ledcor Sicim LP • 726.1
1269767,90166868534,AP 4-B-132-A • NB • Ledcor Sicim LP • 752.5
1269777,29597296420,AP 4-B-115-G • N/A • Ledcor Sicim LP
1269785,91721645817,AP 4-B-132-A • SB • Ledcor Sicim LP • 752.5
1278492,22456413740,AP 6-A-Hwy 1 E-2 • SB • Macro Spiecapag JV • 1052
1278497,55858030442,AP 6-A-Hwy 1 E-2 • NB • Macro Spiecapag JV • 1052
1284839,57029589490,AP 4-B-73-A • NB • Ledcor Sicim LP • 698.3
1284849,63364422783,AP 4-B-73-A • SB • Ledcor Sicim LP • 698.3
1298765,17980064935,AP 4-A-26-A • NB • Ledcor Sicim LP • 646.6
1298766,56640656683,AP 4-A-26-A • SB • Ledcor Sicim LP • 646.6
1298841,75790313444,"AP 3-B-15-A, AP 3-B-16-B • N/A • Ledcor Sicim LP • 515.1"
1298846,73941780958,AP 3-B-15-A • N/A • Ledcor Sicim LP
1307906,88779822862,"AP-7-A-BRUNETTE AVE ONRAMP, AP-7-A-BRUNETTE AVE OFFRAMP • N/A • KLTP • 1173"
1313202,14883352284,AP 4-A-44-A • SB • Ledcor Sicim LP • 672.8
1313212,87832929586,AP 4-A-44-A • NB • Ledcor Sicim LP • 672.8
1313244,53330524217,AP 3-C-59-A • SB • Ledcor Sicim LP • 563.2
1313250,92666800686,AP 3-C-59-A • NB • Ledcor Sicim LP • 563.2
1326908,24617595457,MRPP-AP 9-B • SB • Ledcor Sicim LP • 419.2
1326910,42450766624,MRPP-AP 9-B • NB • Ledcor Sicim LP • 419.2
1327089,59441524480,"AP 3-C-41-A, AP 3-C-42-A • SB • Ledcor Sicim LP • 537"
1327099,21550771877,"AP 3-C-41-A, AP 3-C-42-A • NB • Ledcor Sicim LP • 537"
1327153,96372842175,"AP 3-B-23.1-A, AP 3-B-23.1-D • SB • Ledcor Sicim LP • 523.2"
1327157,87689561403,"AP 3-B-23.1-A, AP 3-B-23.1-D • NB • Ledcor Sicim LP • 523.2"
1327215,54027041614,AP 4-A-60-A • SB • Ledcor Sicim LP • 688.4
1327228,69140817839,AP 4-A-60-A • NB • Ledcor Sicim LP • 688.4
1341314,37709753226,AP 3-C-36-A • SB • Ledcor Sicim LP • 529.9
1341318,32619387794,AP 3-C-35-C • SB • Ledcor Sicim LP • 526.9
1341324,32211388294,AP 3-C-36-A • NB • Ledcor Sicim LP • 529.9
1341325,40822621367,AP 3-C-35-C • NB • Ledcor Sicim LP • 526.9
1364487,61149462439,"AP 6-A-4-A, AP 6-A-7-B, AP 6-A-5-A • NB • Macro Spiecapag JV"
1364489,83015587391,"AP 6-A-4-A, AP 6-A-7-B, AP 6-A-5-A • SB • Macro Spiecapag JV"
