,AssetNumber,AssetIdentifier
3865597,28189536047,MRPP-AP 16 • SB • Ledcor Sicim LP • 425.6
3946676,54250117298,AP-4-B-160-B • N/A • Demo Client • 732.5
3970516,40077671949,AP 5-B-112 • N/A • Surerus Murphy JV • 813.6
3988551,39433063554,AP 5-A-4-B • N/A • Surerus Murphy JV • 816.5
3988568,49419962231,AP 5-A-43-A • N/A • Surerus Murphy JV • 860.2
3992637,57659893790,"MRPP-AP 39, MRPP-AP 40 • N/A • Ledcor Sicim LP • 468.7"
4004560,44818877251,MRPP-AP 38 • SB • Ledcor Sicim LP • 464.3
4004574,32638020178,MRPP-AP 38 • NB • Ledcor Sicim LP • 464.3
4032514,16737347844,AP 5-B-110 • N/A • Surerus Murphy JV • 862.2
4032524,30073767354,"AP 5-A-1-B-7, AP 5-A-2-A • N/A • Surerus Murphy JV • 810.7"
4032589,80245349961,AP 5-B-102 • N/A • Surerus Murphy JV • 808.7
4059665,52288717369,"AP 3-C-35-C-1, AP 3-C-35-C-2 • N/A • Ledcor Sicim LP • 527.4"
4101005,32349862158,AP 4-A-31-A • SB • Ledcor Sicim LP • 654.2
4101006,16574766243,AP 4-A-31-A • NB • Ledcor Sicim LP • 654.2
4124334,62979981755,AP 4-A-39-A • SB • Ledcor Sicim LP • 663.4
4124340,15245417738,AP 4-A-39-A • NB • Ledcor Sicim LP • 663.4
4137617,80785719580,AP 4-A-30-A • SB • Ledcor Sicim LP • 653.7
4137620,63112496169,AP 4-A-30-A • NB • Ledcor Sicim LP • 653.7
4198392,49246220336,AP-4-B-160-B • SB • Demo Client • 732.5
4209770,18763208717,AP 4-A-29-A • NB • Ledcor Sicim LP • 652.6
4209805,67684300102,AP 4-A-29-A • SB • Ledcor Sicim LP • 652.6
4245312,53065585033,AP 4-A-18-B • SB • Ledcor Sicim LP • 634.5
4245316,57154635796,AP 4-A-10-A • NB • Ledcor Sicim LP • 622.8
4245324,11839010268,AP 4-A-18-B • NB • Ledcor Sicim LP • 634.5
4245340,11607995539,AP 4-A-10-A • SB • Ledcor Sicim LP • 622.8
4253398,44878708367,AP 6-A-44-A • NB • Macro Spiecapag JV • 1051
4253399,82444436698,AP 6-A-44-A • SB • Macro Spiecapag JV • 1051
4283720,30783661221,MRPP-AP 28 • NB • Ledcor Sicim LP • 450.9
4287216,69716152192,AP 6-A-58-A • SB • Macro Spiecapag JV • 1064
4287218,35995374947,AP 6-A-58-A • NB • Macro Spiecapag JV • 1064
4365477,22494493272,AP 3-C-53-A and AP 3-C-55-A • NB • Ledcor Sicim LP • 557.5
4365508,51148126352,AP 5-A-7-A • N/A
4365574,23793412409,AP 3-C-53-A and AP 3-C-55-A • SB • Ledcor Sicim LP • 557.5
4365607,83893275900,AP 5-A-10-C • N/A
4979093,96861493271,AP 5-B-107 • N/A • Surerus Murphy JV • 811.1
4979212,18661378775,MRPP-AP 9-C • NB • Ledcor Sicim LP • 419.2
4979215,87354339708,MRPP-AP 9-C • SB • Ledcor Sicim LP • 419.2
6440765,10000009923,Spread 4A Workzones
6447669,86880789658,"AP 3-B-12-A-2, AP 3-B-12-A-3, AP 3-B-12-B-1 • N/A • Ledcor Sicim LP • 512"
6453606,97458597983,AP 5-C-78-B • NB • Surerus Murphy JV • 968.3
6467198,10000009930,Testing Yellowhead EB
6530328,10000009931,Testing ATS CENTER
6633265,77116901831,"AP 3-B-20-A-1, AP 3-B-23 • N/A • Ledcor Sicim LP • 518.8"
6634202,96377892188,"AP 4-B-115-F, AP 4-B-115-C, AP 4-B-115-B-5, AP 4-B-115-B-6 • NB • Ledcor Sicim LP"
6634284,45155434351,"AP 4-B-115-F, AP 4-B-115-C, AP 4-B-115-B-5, AP 4-B-115-B-6 • SB • Ledcor Sicim LP"
6681647,32425805639,AP 5-D-103-A • NB • Macro Spiecapag JV
6681652,71321239042,AP 5-D-103-A • SB • Macro Spiecapag JV
6699844,53487591867,AP 3-C-74-A • NB • Ledcor Sicim LP • 598.8
6699847,20162855869,AP 3-C-74-A • SB • Ledcor Sicim LP • 598.8
6700278,69284622300,AP 5-C-80-B • NB • Surerus Murphy JV • 973.8
6700342,67112289216,AP 5-C-79-A • NB • Surerus Murphy JV • 972.2
6728515,10000009935,Testing Raft River
6870324,61630079816,AP 3-C-58-B • NB • Ledcor Sicim LP • 561.7
6907021,30365271053,AP 3-B-25-B • N/A • Ledcor Sicim LP • 521.7
6907027,63867859347,MRPP-AP 8 • NB • Ledcor Sicim LP • 418
6907029,87341599215,"MRPP-AP 24-A, MRPP-AP 24-B, MRPP-AP 24-C • NB • Ledcor Sicim LP • 435.9"
6907030,43006909057,MRPP-AP 23 • NB • Ledcor Sicim LP • 434.9
6907031,88385098243,MRPP-AP 21 • NB • Ledcor Sicim LP • 432.3
6907032,15565314213,MRPP-AP 20 • NB • Ledcor Sicim LP • 430.8
6907033,24425064561,MRPP-AP 19 • NB • Ledcor Sicim LP • 430
6907037,84619134024,MRPP-AP 13 • NB • Ledcor Sicim LP • 422.2
6907052,69253056052,"AP 3-B-13-A-2, AP 3-B-14-B • N/A • Ledcor Sicim LP • 514.5"
6907055,49837909751,AP 3-B-13-A-3 • SB • Ledcor Sicim LP • 517.5
6907057,98643424243,"AP 3-B-22-A-1, AP 3-B-23-A • N/A • Ledcor Sicim LP • 519.5"
6907067,36181764255,AP 3-C-45-A • SB • Ledcor Sicim LP • 541
6907078,89335857588,"AP 3-C-66-A, AP 3-C-67-A-1 • SB • Ledcor Sicim LP • 581.8"
6907081,17900926692,"AP 3-C-Hwy 5-7, AP 3-C-Hwy 5-8 • NB • Ledcor Sicim LP • 592.6"
6907093,86535045489,"AP 3-C-81-D-1, AP 3-C-81-D-2 • N/A • Ledcor Sicim LP • 610.8"
6907095,94801343162,AP 4-A-3.1-A • N/A • Ledcor Sicim LP • 611.6
6907096,57925721204,"AP 4-A-4-A-1, AP 4-A-4-A-2 • N/A • Ledcor Sicim LP • 611.8"
6907098,28356926891,"AP 4-A-1-A-1, AP 4-A-1-A-2 • SB • Ledcor Sicim LP • 612.3"
6907099,97600668102,"AP 4-A-5-A-1, AP 4-A-5-A-2 • SB • Ledcor Sicim LP • 612.6"
6907102,89365125267,AP 4-A-Hwy 5-11 • SB • Ledcor Sicim LP • 621.7
6907103,22527325942,AP 4-A-Hwy 5-12 • SB • Ledcor Sicim LP • 622.5
6907105,53971315200,AP 4-A-11-A • SB • Ledcor Sicim LP • 623.8
6907106,23186836356,AP 4-A-Hwy 5-14 • SB • Ledcor Sicim LP • 627.1
6907107,38194039865,AP 4-A-Hwy 5-15 • SB • Ledcor Sicim LP • 627.2
6907114,50686558234,"AP-4-A-151-A, AP-4-A-151-B • SB • Ledcor Sicim LP • 633"
9392273,51581990143,AP 4-B-112-A-2 • N/A • Ledcor Sicim LP • 723.9
